task_type,resources,duration,cost
Analysis,4,34,1317
Validation,3,31,2090
Testing,4,19,861
Development,5,48,2228
Analysis,6,38,2562
Testing,3,39,1936
Validation,8,11,4696
Validation,1,6,3014
Testing,6,7,4718
Analysis,9,35,4435
Analysis,2,9,1345
Testing,8,23,3197
Testing,1,9,4452
Development,6,44,3238
Analysis,3,10,3523
Development,4,42,1112
Analysis,7,13,4446
Validation,6,13,2547
Validation,6,26,2395
Analysis,5,40,2928
Analysis,4,27,1450
Development,4,17,2243
Development,6,37,3059
Testing,8,6,769
Testing,8,15,4317
Validation,6,25,2141
Testing,7,7,1129
Testing,5,45,3211
Testing,6,46,1720
Analysis,7,29,1786
Validation,4,37,4051
Development,6,14,2051
Development,8,40,1633
Analysis,4,11,4541
Testing,9,40,1128
Development,5,25,1373
Development,1,27,3883
Development,6,34,2847
Development,4,17,2666
Analysis,2,11,4853
Testing,2,37,1320
Testing,4,13,1655
Testing,8,14,3776
Analysis,3,38,613
Development,4,20,572
Validation,9,8,2078
Testing,3,6,2461
Development,9,42,1402
Testing,5,5,3374
Development,3,8,1937
Testing,8,19,2416
Validation,8,45,3890
Validation,6,46,1436
Validation,4,23,4660
Testing,4,43,2693
Testing,6,34,3807
Testing,1,43,1027
Development,5,26,680
Testing,5,45,2034
Development,6,22,697
Development,2,14,3849
Development,1,42,3363
Validation,3,49,1804
Testing,6,20,3335
Testing,5,28,4519
Testing,7,31,3775
Development,8,48,883
Analysis,1,49,2901
Analysis,2,12,1073
Validation,6,17,1382
Testing,4,10,3205
Testing,3,10,4909
Development,8,10,1162
Validation,7,18,4770
Validation,4,28,3326
Validation,6,46,1762
Development,9,42,1981
Validation,7,26,1494
Validation,9,31,2555
Development,6,49,1387
Analysis,9,37,1477
Analysis,1,45,2751
Development,4,43,1094
Development,7,7,2990
Testing,1,34,3426
Development,3,30,2715
Testing,3,39,947
Development,8,47,603
Validation,7,8,1965
Testing,3,13,1019
Analysis,5,40,3179
Analysis,9,17,2209
Analysis,7,41,3544
Analysis,8,34,4337
Development,2,41,1110
Validation,2,30,4828
Development,3,10,2417
Validation,8,33,1979
Development,2,30,3948
Development,6,36,1251
Analysis,2,41,1171
Validation,8,44,2822
Validation,9,19,3667
Validation,1,10,2969
Testing,3,23,4915
Validation,5,12,3964
Testing,3,45,3196
Testing,3,20,1774
Testing,2,14,2483
Development,5,49,3010
Validation,8,26,1871
Analysis,7,39,4503
Development,2,34,843
Analysis,1,49,1020
Analysis,7,23,4843
Validation,8,20,3497
Validation,2,38,562
Development,2,22,993
Analysis,1,29,4939
Development,8,10,4644
Testing,2,41,4373
Development,7,10,1343
Analysis,7,16,551
Testing,8,6,576
Testing,8,43,641
Development,9,25,760
Validation,1,49,3167
Analysis,7,31,4753
Testing,4,10,3135
Development,5,23,1337
Analysis,8,17,3938
Validation,5,38,4965
Testing,5,16,2262
Testing,6,37,4259
Validation,7,25,3686
Validation,7,41,1487
Development,4,16,2046
Analysis,6,22,4492
Analysis,7,35,2111
Development,1,15,2757
Testing,2,13,680
Development,4,5,1261
Testing,5,36,4213
Analysis,7,49,1681
Development,3,5,4256
Development,2,34,3692
Testing,3,48,1579
Validation,9,24,4057
Validation,8,7,2371
Validation,4,16,4433
Development,8,34,3732
Validation,3,23,3042
Testing,9,25,3673
Validation,6,8,3701
Testing,2,44,3397
Analysis,9,6,3119
Development,3,42,3942
Analysis,5,31,3229
Testing,8,39,3071
Testing,9,8,3617
Testing,1,8,1893
Validation,2,5,1261
Analysis,4,42,1671
Validation,7,31,4226
Development,3,30,4909
Development,4,27,619
Testing,7,41,1881
Analysis,6,39,1978
Development,1,8,2065
Validation,7,17,674
Analysis,8,17,3414
Validation,7,43,3089
Testing,4,48,2557
Analysis,3,41,507
Testing,5,30,2345
Analysis,3,45,4368
Development,2,33,3219
Testing,7,23,3603
Development,5,13,1738
Analysis,6,45,4834
Validation,3,47,4945
Development,7,48,3327
Analysis,7,7,4526
Analysis,8,22,2627
Development,9,14,1982
Development,1,29,2190
Analysis,4,23,3027
Testing,7,28,2837
Validation,1,22,899
Analysis,1,23,1955
Testing,9,8,3951
Validation,9,12,2656
Analysis,1,46,3007
Validation,5,36,3374
Development,3,33,1686
Analysis,7,20,2977
Development,1,28,1870
Validation,3,22,2317
Analysis,2,9,3691
Testing,5,31,2366
Development,6,21,3326
Validation,8,6,4633
Development,5,37,1459
Testing,7,42,4353
Development,6,34,2415
Development,9,23,3915
Testing,1,26,1451
Development,5,10,946
Development,4,12,1803
Validation,1,19,3119
Validation,5,28,1084
Analysis,1,33,4979
Development,7,33,1662
Development,8,42,916
Validation,8,48,507
Testing,7,14,546
Development,8,17,4907
Testing,2,26,1971
Analysis,5,7,1598
Testing,2,49,4064
Validation,8,47,2837
Development,7,7,4020
